title,abstract
Sustainable Traditional Medicine Taking the Inspirations from Ancient Veterinary Science,Rapid reduction in natural resources as a consequence to the expanded urbanization global warming and reduced natural habitat posed a considerable threat to the sustainability of traditional medicine Being completely dependent upon natural resources like herbs minerals and animal products traditional medicine would possibly rank first in order of extinction of heritage if an alternative way is not considered well in time In reference to the use of animal products Ayurveda presents some unique examples where animals are used without causing harm to them and so without posing a threat to their existence In the current context when natural resources are facing a threat to their existence a revisit to these ideas may give us a new insight to refine our look at natural resources used in traditional medicine
Application of Signal Analysis to the Climate,The primary ingredient of the Anthropogenic Global Warming hypothesis namely the assumption that additional atmospheric carbon dioxide substantially raises the global temperature is studied This is done by looking at the data of temperature and CO both in the time domain and in the phase domain of periodic data Bicentenary measurements are analyzed and a relaxation model is introduced in the form of an electronic equivalent circuit The effects of this relaxation manifest themselves in delays in the time domain and correlated phase shifts in the phase domain For extremely long relaxation time constants the delay is maximally onequarter period which for the yearlyperiodic signal means months This is not in line with the analyzed data the latter showing delays of − months These results indicate a reverse function of cause and effect with temperature being the cause for atmospheric CO changes rather than their effect These two hypotheses are discussed on basis of literature where it was also reported that CO variations are lagging behind temperature variations
Algae Oil A Sustainable Renewable Fuel of Future,A nonrenewable fuel like petroleum has been used from centuries and its usage has kept on increasing day by day This also contributes to increased production of greenhouse gases contributing towards global issues like global warming In order to meet environmental and economic sustainability renewable carbon neutral transport fuels are necessary To meet these demands microalgae are the key source for production of biodiesel These microalgae do produce oil from sunlight like plants but in a much more efficient manner Biodiesel provides more environmental benefits and being a renewable resource it has gained lot of attraction However the main obstacle to commercialization of biodiesel is its cost and feasibility Biodiesel is usually used by blending with petro diesel but it can also be used in pure form Biodiesel is a sustainable fuel as it is available throughout the year and can run any engine It will satisfy the needs of the future generation to come It will meet the demands of the future generation to come
Effect of Green Technology Investment on a ProductionInventory System with Carbon Tax,Carbon emissions play the central role in global warming Manufacturing firms are significant contributors to carbon emissions In many countries regulatory authorities are taking actions to reduce emissions Carbon taxation and capandtrade schemes are two mechanisms implemented in many countries In the present paper the author analyzes a productioninventory model under a carbon tax system The production rate is assumed to be a decision variable and can be set at any level within machine limits A proportion of items produced are defective and this proportion depends on the production rate Demand depends on the selling price Unit price is a decreasing function of the production rate Emissions can be reduced to some extent by capital investment on green technology and this capital investment amount is a decision variable Customers are categorized as retail customers and wholesale customers A discount is offered to the wholesale customers on the regular selling price The results are illustrated by a numerical example and a sensitivity analysis is performed
Turbulent and Transitional Modeling of Drag on Oceanographic Measurement Devices,Computational fluid dynamic techniques have been applied to the determination of drag on oceanographic devices expendable bathythermographs Such devices which are used to monitor changes in ocean heat content provide information that is dependent on their drag coefficient Inaccuracies in drag calculations can impact the estimation of ocean heating associated with global warming Traditionally oceanheating information was based on experimental correlations which related the depth of the device to the fall time The relation of timedepth is provided by a fallrate equation FRE It is known that FRE depths are reasonably accurate for ocean environments that match the experiments from which the correlations were developed For other situations use of the FRE may lead to depth errors that preclude XBTs as accurate oceanographic devices Here a CFD approach has been taken which provides drag coefficients that are used to predict depths independent of an FRE
Geopolymer Binders A Need for Future Concrete Construction,Applications of polymer based binder material can be an ideal choice in civil infrastructural applications since the conventional cement production is highly energy intensive Moreover it also consumes significant amount of natural resources for the largescale production in order to meet the global infrastructure developments On the other hand the usage of cement concrete is on the increase and necessitates looking for an alternative binder to make concrete Geopolymer based cementitious binder was one of the recent research findings in the emerging technologies The present study is aimed at providing a comprehensive review on the various production processes involved in the development of a geopolymer binder More studies in the recent past showed a major thrust for wider applications of geopolymer binder towards a cost economic construction practice This also envisages the reduction of global warming due to carbon dioxide emissions from cement plants
CO Capture in Ionic Liquids A Review of Solubilities and Experimental Methods,The growing concern of climate change and global warming has in turn given rise to a thriving research field dedicated to finding solutions One particular area which has received considerable attention is the lowering of carbon dioxide emissions from largescale sources that is fossil fuel power This paper focuses on ionic liquids being used as novel media for CO capture In particular solubility data and experimental techniques are used at a laboratory scale Cited CO absorption data for imidazolium pyrrolidinium pyridinium quaternaryammonium and tetraalkylphosphoniumbased ionic liquids is reviewed expressed as mole fractions X of CO to ionic liquid The following experimental techniques are featured gravimetric analysis the pressure drop method and the viewcell method
Analysis of Window Components Affecting UValue Using Thermal Transmittance Test Results and Multiple Linear Regression Analysis,Currently global warming is accelerating and many countries are trying to reduce greenhouse emission by enforcing low energy building And the thermal performance of the windows is one of the factors that greatly influence the heating and cooling energy consumption of buildings According to the development of the window system the thermal performance of the windows is greatly improved There are simulations and tests for window thermal performance evaluation techniques but both are time consuming and costly The purpose of this study is to develop a convenient method of predicting Uvalue at the window system design stage by multiple linear regression analysis Uvalue test results were collected and window system components were set as independent values As a result the number of windows single or double among the components of the window has the greatest effect on the Uvalue In this research two regression equations for predicting Uvalue of window system were suggested and the estimated standard errors of equations were in single window and in double window
Design and Performance Analysis of a Massively Parallel Atmospheric General Circulation Model,In the s computer manufacturers are increasingly turning to the development of parallel processor machines to meet the high performance needs of their customers Simultaneously atmospheric scientists studying weather and climate phenomena ranging from hurricanes to El Niño to global warming require increasingly fine resolution models Here implementation of a parallel atmospheric general circulation model GCM which exploits the power of massively parallel machines is described Using the horizontal data domain decomposition methodology this FORTRAN model is able to integrate a longitude by latitude problem at a rate of Gigaflops on processors of a Cray TE corresponding to seconds of wallclock time per simulated model day At this resolution the model has times as many degrees of freedom and performs times as many floating point operations per simulated day as the model it replaces
Meeting the Challenge,The first Chempor Conference held in Lisbon in under the auspices of the Calouste Gulbenkian Foundation heralded a regular wideranging review of research and development in Portugal and the UK Progressively in later years the Conferences have attracted contributions from other European countries and indeed further afield There is an increasing awareness of the problems for the environment notably global warming brought about by human activities Recent predictions about the future are dire particularly regarding food and water for a rapidly growing world population They represent a substantial challenge to the scientific and technical fraternity In response to that challenge it is important to keep up to date with technical developments to meet and keep in touch with coworkers in associated fields and to cooperate wherever possible The papers presented at the Chempor and other conferences have made and continue to make a significant contribution to that objective of meeting the challenge
